DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	REGION	COUNTRY_CODE	CURRENT_POSITION
2022-02-10	GHOST TOWN	Pop	Spotify	OTHER	CW	178
2022-02-17	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	DK	49
2022-01-27	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	DK	35
2021-11-02	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	DK	47
2022-02-13	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	DK	4
2021-10-28	GHOST TOWN	Pop	Google Doc Charts	CONTINENTAL EUROPE	DK	12
2022-03-03	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	DK	2
2022-01-06	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	NL	31
2022-02-13	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NL	11
2022-01-27	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	NL	39
2021-11-26	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	13
2021-12-25	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	14
2021-10-29	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	14
2022-01-26	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	10
2022-02-04	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	19
2021-12-31	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	77
2021-12-02	GHOST TOWN	Pop	Google Doc Charts	CONTINENTAL EUROPE	NO	38
2021-04-15	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	NZ	63
2022-01-06	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	80
2021-12-02	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	PH	167
2021-12-23	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	KR	160
2022-02-02	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	KR	164
2022-03-03	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	KR	113
2021-11-11	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	KR	5
2022-02-14	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	KR	146
2022-02-13	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	KR	154
2022-02-15	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	KR	151
2021-11-18	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	LT	22
2022-02-17	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	LU	147
2022-02-10	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	MC	142
2021-04-08	GHOST TOWN	Pop	Spotify	OTHER	MU	137
2021-01-07	GHOST TOWN	Pop	Spotify	OTHER	SB	64
2021-11-18	GHOST TOWN	Pop	Google Doc Charts	CONTINENTAL EUROPE	SE	17
2021-11-25	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	SE	16
2021-02-25	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	SE	57
2021-11-18	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	SE	79
2021-12-06	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	SG	39
2021-04-01	GHOST TOWN	Pop	Spotify	OTHER	MU	137
2021-11-19	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	SG	66
2021-11-27	GHOST TOWN	Pop	Shazam	CANADA	CA	199
2022-02-13	GHOST TOWN	Pop	Shazam	CANADA	CA	88
2022-02-05	GHOST TOWN	Pop	Shazam	CANADA	CA	111
2021-11-13	GHOST TOWN	Pop	Shazam	CANADA	CA	188
2021-11-29	GHOST TOWN	Pop	Shazam	CANADA	CA	183
2022-03-03	GHOST TOWN	Pop	Shazam	CANADA	CA	94
2021-11-18	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	BE	59
2022-02-19	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	7
2021-11-14	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	160
2021-12-02	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	AU	33
2021-11-25	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	AU	23
2021-04-08	GHOST TOWN	Pop	Spotify	OTHER	BN	103
2021-11-11	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	AT	69
2021-11-28	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	27
2021-11-21	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	80
2022-01-15	GHOST TOWN	Pop	Ultratop	CONTINENTAL EUROPE	BE	29
2022-01-13	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	15
2022-02-15	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	BE	7
2021-11-25	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	HK	168
2021-12-30	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	HU	151
2021-12-22	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	HU	113
2021-12-02	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	ID	199
2022-01-15	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	IE	99
2022-01-06	GHOST TOWN	Pop	Google Doc Charts	CONTINENTAL EUROPE	IE	92
2021-11-11	GHOST TOWN	Pop	Spotify	LATIN AMERICA	MX	27
2022-02-09	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NL	11
2022-03-03	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	NL	43
2022-02-07	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NL	9
2022-01-15	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NL	8
2022-02-16	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	31
2021-11-03	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	15
2022-02-11	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	26
2022-01-01	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	17
2022-01-11	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	20
2022-01-26	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	83
2021-11-22	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	4
2021-03-11	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	NZ	63
2021-12-05	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	59
