DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_KEY	DAYS_ON_CHART	COUNTRY_CODE
2022-02-25	GHOST TOWN	Pop	Spotify	530		DK
2021-10-28	GHOST TOWN	Pop	Spotify	763		WW
2021-11-11	GHOST TOWN	Pop	Spotify	528		NO
2021-11-04	GHOST TOWN	Pop	Spotify	530		DK
2021-11-17	GHOST TOWN	Pop	Spotify	544		AT
2021-11-13	GHOST TOWN	Pop	Spotify	605		ID
2021-11-06	GHOST TOWN	Pop	Spotify	547		AU
2021-11-12	GHOST TOWN	Pop	Spotify	534		MY
2021-10-23	GHOST TOWN	Pop	Spotify	587		IE
2022-01-16	GHOST TOWN	Pop	Apple	530		DK
2021-11-16	GHOST TOWN	Pop	Mediabase	558		US
2021-10-29	GHOST TOWN	Pop	Spotify	610		CA
2021-11-30	GHOST TOWN	Pop	Spotify	530		DK
2021-11-27	GHOST TOWN	Pop	Spotify	516		AE
2021-11-13	GHOST TOWN	Pop	Spotify	609		VN
2021-10-29	GHOST TOWN	Pop	Spotify	588		CH
2022-02-01	GHOST TOWN	Pop	Apple	596		NL
2021-10-25	GHOST TOWN	Pop	Apple	610		CA
2022-01-10	GHOST TOWN	Pop	Apple	528		NO
2022-01-02	GHOST TOWN	Pop	Apple Music	615		GB
2022-01-04	GHOST TOWN	Pop	Apple Music	583		EE
2022-01-28	GHOST TOWN	Pop	Apple Music	565		SG
2022-01-30	GHOST TOWN	Pop	Apple Music	581		GR
2022-02-21	GHOST TOWN	Pop	Apple Music	573		GH
2021-10-31	GHOST TOWN	Pop	Apple Music	587		IE
2021-12-02	GHOST TOWN	Pop	Apple Music	687		MK
2022-02-03	GHOST TOWN	Pop	Apple Music	586		NG
2021-10-24	GHOST TOWN	Pop	Apple Music	580		RO
2021-12-28	GHOST TOWN	Pop	Apple Music	570		SK
2021-12-01	GHOST TOWN	Pop	Apple Music	637		TZ
2022-02-19	GHOST TOWN	Pop	Apple Music	572		AG
2021-10-22	GHOST TOWN	Pop	Apple Music	677		NA
2021-10-29	GHOST TOWN	Pop	Apple Music	556		OM
2021-10-29	GHOST TOWN	Pop	Apple Music	581		GR
2021-11-17	GHOST TOWN	Pop	Apple Music	528		NO
2022-01-31	GHOST TOWN	Pop	Spotify	625		FI
2021-11-29	GHOST TOWN	Pop	Spotify	551		LT
2021-12-03	GHOST TOWN	Pop	Spotify	547		AU
2021-11-22	GHOST TOWN	Pop	Spotify	599		PL
2021-11-18	GHOST TOWN	Pop	Spotify	615		GB
2021-12-08	GHOST TOWN	Pop	Spotify	522		BE
2021-12-02	GHOST TOWN	Pop	Spotify	588		CH
2022-03-02	GHOST TOWN	Pop	Spotify	543		SE
2021-11-13	GHOST TOWN	Pop	Spotify	536		EG
2021-11-17	GHOST TOWN	Pop	Spotify	567		TW
2021-10-25	GHOST TOWN	Pop	Spotify	544		AT
2022-01-23	GHOST TOWN	Pop	Spotify	549		NZ
2022-01-19	GHOST TOWN	Pop	Spotify	522		BE
2022-01-12	GHOST TOWN	Pop	Apple	522		BE
2021-11-13	GHOST TOWN	Pop	Spotify	613		BR
2022-01-20	GHOST TOWN	Pop	Spotify	528		NO
2021-11-08	GHOST TOWN	Pop	Spotify	545		CO
2021-11-14	GHOST TOWN	Pop	Spotify	693		MA
2021-11-05	GHOST TOWN	Pop	Spotify	625		FI
2021-11-07	GHOST TOWN	Pop	Spotify	588		CH
